gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
1.125,-1.0,0.8125,0.037087999999999996,-0.047824,1.038464,0.268,-0.48100000000000004,0.562
1.1875,-0.6875,0.9374999999999999,0.03904,-0.049776,1.038464,0.279,-0.48800000000000004,0.558
1.3125,-1.0625,0.8125,0.038064,-0.047824,1.038464,0.266,-0.48200000000000004,0.559
1.4375,-0.6875,0.6875,0.036112,-0.047824,1.0365119999999999,0.277,-0.47800000000000004,0.561
1.4375,-1.0625,0.625,0.037087999999999996,-0.047824,1.035536,0.278,-0.485,0.5680000000000001
1.6875,-0.5625,0.8125,0.036112,-0.048799999999999996,1.03944,0.268,-0.47800000000000004,0.5790000000000001
1.0,-0.7500000000000001,0.7500000000000001,0.038064,-0.046848,1.040416,0.275,-0.48400000000000004,0.5690000000000001
1.125,-0.8125,0.8125,0.037087999999999996,-0.046848,1.038464,0.268,-0.48700000000000004,0.565
1.375,-0.5625,0.9374999999999999,0.038064,-0.047824,1.03944,0.28,-0.475,0.5720000000000001
1.25,-0.8125,0.6875,0.038064,-0.047824,1.0413919999999999,0.268,-0.47600000000000003,0.555
1.3125,-0.9374999999999999,1.0,0.03904,-0.046848,1.040416,0.277,-0.47900000000000004,0.565
1.3125,-0.875,0.875,0.037087999999999996,-0.047824,1.0365119999999999,0.273,-0.48100000000000004,0.5720000000000001
1.375,-0.8125,0.875,0.038064,-0.048799999999999996,1.03944,0.269,-0.49400000000000005,0.5780000000000001
1.375,-0.9374999999999999,0.6875,0.040015999999999996,-0.048799999999999996,1.038464,0.274,-0.49400000000000005,0.561
1.3125,-0.7500000000000001,0.9374999999999999,0.040015999999999996,-0.048799999999999996,1.037488,0.271,-0.47300000000000003,0.5680000000000001
1.0,-0.5,0.9374999999999999,0.03904,-0.048799999999999996,1.0365119999999999,0.258,-0.48300000000000004,0.5710000000000001
1.375,-0.9374999999999999,0.4375,0.03904,-0.047824,1.0413919999999999,0.273,-0.48800000000000004,0.5640000000000001
1.3125,-0.8125,1.0625,0.038064,-0.047824,1.038464,0.267,-0.47300000000000003,0.5630000000000001
1.75,-0.8125,0.875,0.037087999999999996,-0.046848,1.0365119999999999,0.267,-0.47800000000000004,0.57
1.75,-1.5000000000000002,0.9374999999999999,0.037087999999999996,-0.049776,1.037488,0.281,-0.47700000000000004,0.557
1.5000000000000002,-0.9374999999999999,1.125,0.036112,-0.046848,1.0365119999999999,0.266,-0.47800000000000004,0.581
